Node,Metric,Mean,Median,Standard Deviation
1,closeness,1.742253505210462,1.715121258473566,0.11588552671474549
1,clustering,0.5802897022918244,0.5826988871490948,0.028811629254634874
1,degree,67.47570656977814,67.75711244888622,3.2709397181543425
2,closeness,1.7463786415554217,1.7260311731273492,0.11956578609905885
2,clustering,0.5800127387392421,0.5825787010995226,0.02994874231476365
2,degree,67.48806919197017,67.74594904858411,3.4530306269346522
3,closeness,1.7690064463899995,1.745064754407704,0.11727536525336778
3,clustering,0.5744187392495992,0.57562488989852,0.029110922878983484
3,degree,66.53411339150017,66.74657673918551,3.2933471208729963
4,closeness,1.7822040680466877,1.7573268538479576,0.14176586751291742
4,clustering,0.5721807232117336,0.5730476366146502,0.030900532579137774
4,degree,66.16556031860023,66.09836606089327,3.543010460299031
5,closeness,1.730976217802796,1.7003363619786254,0.11213801287616466
5,clustering,0.5811775779254877,0.5826204989895938,0.030338023975968315
5,degree,67.44857678557509,67.85053237552566,3.5449787029819113
6,closeness,1.7348878153502207,1.7110951013441897,0.11695092215695294
6,clustering,0.581420140047733,0.580123839532009,0.029458363762826463
6,degree,67.57593418262962,67.71243114361681,3.4395654225280143
7,closeness,1.7765855129012713,1.7592096170523805,0.12977545527529513
7,clustering,0.5730152158144879,0.5705580957297837,0.030193276064450335
7,degree,66.27767483834238,66.23646458825016,3.455347073934638
8,closeness,1.7830457950008052,1.7416569650145621,0.13847465480454432
8,clustering,0.5723080627643901,0.5743041276654421,0.030584090572393127
8,degree,66.25083743490036,66.55170384243547,3.4780392623296676
9,closeness,1.7255579982830367,1.713729672418367,0.11076037147573024
9,clustering,0.5827290445690229,0.5804601326248346,0.028955985112805185
9,degree,67.74711493048086,67.51397232988148,3.351898132221536
10,closeness,1.734199483546414,1.7186362565974944,0.09679029681150174
10,clustering,0.5798325154381748,0.5822147073400045,0.02810855806564014
10,degree,67.24017828303303,67.49602807460809,3.2293879625792767
11,closeness,1.723758176302872,1.7102091491703053,0.10322862790615689
11,clustering,0.5830052238390642,0.5805885073977555,0.028694672586573176
11,degree,67.81261264945805,67.48208607086126,3.187198498988334
12,closeness,1.7358157871529365,1.7052172812100923,0.12445073960216513
12,clustering,0.5815147192108209,0.5876000639108971,0.028840191048007904
12,degree,67.68519120175714,67.99239566117768,3.1484726840550783
13,closeness,1.730823340235422,1.7346199134230087,0.10779333703063879
13,clustering,0.5817307429660242,0.5765052971293505,0.02842642584935326
13,degree,67.62510107623187,67.83415774279739,3.1822169518557972
14,closeness,1.7286464106459116,1.709668086038767,0.10722513008277784
14,clustering,0.5820170803498929,0.583206960597721,0.029048060736571225
